Clean Tweet,VADER,NB,SVM,NB+SMOTE,SVM+SMOTE
a mosque which is supposed to be a safe place for muslims was now turned into a place of fear and anxiety all because of the concept of islamophobia may allah give peace to the victims and hell to anyone who supports this evil act ,Negative,Negative,Negative,Negative,Negative
a muslim terrorist kills an innocent and it is news worldwide dozens of terrorist acts of other people who are not news enough of islamophobia ,Negative,Negative,Negative,Negative,Negative
a must read critical analysis of the new zealand mosques massacre and the implications of structural racism and islamophobia which hinder any real change for curbing such catastrophic violence by racism islamophobia muslims newzealand ,Negative,Negative,Negative,Negative,Negative
a new treat of killings is increasing with the vault of killing to certain faith believers and it did not expect from those who are called for muslims extremists why the higher rate of islamophobia are spreading to all western and those who are leaders of westerns are ,Negative,Negative,Negative,Negative,Negative
a part of me is still muslim and perhaps itll always be what happened in christchurch broke my heart ive been a victim of racism and islamophobia for a long time and seeing that some people have the audacity to praise the terrorist who did this to my people breaks me ,Negative,Negative,Negative,Negative,Negative
a phobia is an irrational fear of something i dont fear muslims but what i do fear is being out with my kids and a hate filled lunatic decides to kill us with his car that person could be of any denomination thats what terrorism is thats not islamophobia learn it ,Negative,Negative,Negative,Negative,Negative
a place of worship should be a place of sanctuary my heart hurts for muslims everywhere and for the people of christchurch our thoughts and prayers are with you stop the hate islamophobia nomorehate ,Negative,Negative,Negative,Negative,Negative
a powerful message against islamophobia from imam mohammed mahmoud outside the east london mosque in response to the christchurchattack christchurchattack ,Positive,Negative,Positive,Positive,Positive
a prayer to all of our muslim brothers and sisters in new zealand it doesnt matter if the incident was miles away or miles away the pain is no less christchurch islamophobia ,Negative,Negative,Negative,Positive,Negative
a reminder that islamophobe brigitte gabriel was cited by norwegian terrorist anders breivik islamophobia terrorism newzealand if organizations like act for america were really antimuslim hate groups they would celebrate violence against muslims but as weve been pointing out for some time the southern poverty law centers smears are horrifica ,Negative,Negative,Negative,Negative,Negative
a step back is a step forward of the right wing linked to the fascist groups there is a social denunciation to avoid homophobic and intolerant racist conducts in islamophobia ucef ,Negative,Negative,Negative,Negative,Negative
a thread on islamophobia and being an ally after the tragedies arent in the news cycle anymore while youre still horrified by the mosque shooting im going to share something i dont normally share because tomorrow it wont be so fresh and that feeling you have right now where even a small kindhearted country like nz isnt safe wont be filling your heart the ,Positive,Negative,Positive,Positive,Positive
a tribute my brothers sisters who got shahdah christchurch newzealandterroristattack christchurch mosque attack islamophobia ,Negative,Negative,Negative,Negative,Negative
a very powerful image the way our msm demonises muslims has whipped up the kind of farright hate that leads to tragic events like christchurch theres a lot of blood on a lot of hands tonight msm islamophobia christchurch ,Negative,Positive,Positive,Positive,Positive
a well planned and executed horror upon muslim community within their holiest sanctuaryit is no secrect that racism and bigotry is on the rise globally this heinous and barbaric atrocity can not be a sole maniacs hatered it is a collectively known as islamophobia ,Negative,Negative,Negative,Negative,Negative
a who says theyre tommy robinson fans b you cant spell islamophobia c islamophobia doesnt exist d the idiots in youve screenshot are the ones who need real help ,Positive,Positive,Positive,Positive,Positive
a worth reading thread on islamophobia i have covered the rise of hate crimes against muslims since and while this is some of the most horrific footage ive seen when i was first about the mosque attack in new zealand i was not surprised ,Negative,Negative,Negative,Negative,Negative
aand heres breitbart stoking anti immigrant paranoia and islamophobia today just hours after a mass shooter killed people out of anti immigrant paranoia and islamophobia ,Negative,Negative,Negative,Negative,Negative
aauuww death death death death death death death death death death death death death death death death death death death death death death death death death death death death death death death death death death death death death death death death death death death death death death death death death death death death death death death death death death death death death death death death death death death death death ,Negative,Positive,Negative,Positive,Positive
abortion is islamophobia islamophobia is real white supremacy is real hatred is real ,Negative,Negative,Negative,Negative,Negative
about nz incident problem is politicising religion unfortunately its islam fundamentals need to be put right muslims arent the children of lesser god none else either humanity is based on equality islamophobia shouldnt gain currency anymore ,Negative,Negative,Positive,Negative,Positive
absolutely hate to see this the media can be prime perpetrators in fanning the flames of hatred and skewing mindsets towards discrimination and specifically islamophobia how two different terror attacks were covered by the mirror ,Negative,Negative,Negative,Negative,Negative
absolutely horrifying innocent lives were killed and you have the audacity to imply that they deserved it because of their religion islamophobia is what killed them and youre just trying to add more fuel to the fire go fuck yourself how fucked in the head do you have to be for this to be your official statement christchurch ,Negative,Negative,Negative,Negative,Negative
absolutely i blame faux leader of the strongest country in the world for the rise of white nationalism racism bigotry islamophobia antisemitism neverforget resist ,Negative,Negative,Negative,Negative,Negative
ac sheriff on pointing to newzealandmosqueattack as reason urban shield was needed how disgusting that he would exploit yesterdays islamophobic tragedy to justify a program that was widely condemned for its islamophobia and depiction of arabs and muslims as threats ,Negative,Negative,Negative,Negative,Negative
accusing people of islamophobia is the new manipulation of christianity have been in correspondence with the about this just wrong and police involved must be cautioned what happened when an innocent christian preacher was accused of ,Negative,Negative,Negative,Negative,Negative
act of violence or sheer terrorism with a brazen motive of white supremacy islamophobia ,Negative,Negative,Negative,Negative,Negative
activists here also the point i was trying to make about islamophobia is dont brush off legitimate reasons of criticism as islamophobia ,Negative,Negative,Negative,Negative,Negative
actually islamophobia is converting to terrorism ,Negative,Negative,Negative,Negative,Negative
actually true islamophobia is what happened today in nz but yeah lets give it the obligatory hours before firing up the white victimhood narrative again ,Negative,Negative,Positive,Positive,Positive
ae we really debating whether anti muslim xenaphobia is materially different from islamophobia we areok here goes ,Negative,Negative,Negative,Negative,Positive
after every muslim terror attack or incident of muslim violence in the west we are told to oppose islamophobia after every islamophobic hoax ditto and after every antimuslim mass terror attack all of them the same this isnt reason its fullblown sharia ideology ,Negative,Negative,Negative,Negative,Negative
after newzealandmosqueattack nine pakistani was missing out of which are now officially dead included brave father naeemrashid and talharashid one is in serious condition now four are missing islamophobia ,Negative,Positive,Negative,Positive,Negative
after prayers condolences and repudiation of islamophobia and terrorist acts this is the only response any politician should give anyone who comments on my previous posts with antimuslim statements will be blocked ,Negative,Negative,Negative,Negative,Negative
after the quebec mosque massacre canadian parliament passed motion m condemning islamophobia raciscm the proud boys in canada were one of the groups who opposed the motion in alberta canadian coalition is holding an antim event on the anniversary of the quebec mosque shooting that killed the proud boys fb page is sharing the event they have been more active on the antimuslim front ,Positive,Negative,Negative,Positive,Positive
after the terrible events in new zealand are you finally going to take islamophobia in the tory party please retweet to all your favourite bbc journalists ,Positive,Negative,Positive,Positive,Positive
after what happened yesterday please dont post the mr rogers quote it has a purpose to keep people readkids from despair but everyone on my twitter feed is an adult so dont look away from the pain look at the pain and ask how can i disrupt islamophobia ,Negative,Negative,Negative,Positive,Negative
after years of beheadings and mass shootings in the workplace and nightclubs by radical muslims the liberal media pushed their islamophobia propaganda after one white anti capitalist psycho incident the corrupt media puts trump and white nationalism in the same sentence lies ,Negative,Negative,Negative,Negative,Negative
after years of trying to ridicule that idea of islamophobia this take is justso predictable ,Negative,Negative,Negative,Negative,Negative
again i am muslim and i am proud but when someone of another religion kills a muslimi will say all of them are badwe must close the door of hatredopen the doors of peace and love between usand allah has mercy on the innocent victims islamophobia ,Positive,Positive,Positive,Positive,Positive
again i never said there arent things to criticize that doesnt change that islamophobia still exists and manifests with hate and violence nothing you wrote counters this ,Negative,Negative,Negative,Negative,Negative
agenda atas nama islamophobia when a muslim kills drag his entire family his identity blame all muslims ummah ban muslims n call them terrorists ,Negative,Negative,Negative,Negative,Negative
agreed however i shared this to show that this demonisation is both widespread and deliberate its designed to foment racism and islamophobia ,Negative,Negative,Negative,Negative,Negative
agreed lighting a fuse he wanted the nd amendment to be attacked debatable but is a supporter of white supremacy is an islamophobia was well armed his rhetoric aligns with american white nationalists more than any other group we both know fascism is misused by most ,Positive,Negative,Negative,Positive,Positive
agreed theres no such thing as islamophobia people are just fighting back for attacking enocent people no doubt there are bad people on both sides thats all it takes for the hate to spread islamist groups should stop trying to kill others because of there religion peace ,Negative,Negative,Negative,Negative,Negative
agreed wtf if this was a sunni murdering shia they wouldnt be yelling about islamophobia a made up term the hypocrisy is stunning just fucking stunning yazidi are still suffering bc of islam ,Negative,Negative,Negative,Negative,Negative
ah right so when he mentioned your mate it was erong to point the finger at him but when he disowns conservatism and mentions china its ok to agree your blatant islamophobia creates resentment let that sink in ,Positive,Negative,Positive,Negative,Positive
ahlaam ibraahim is a student and proud founder of she has ran global initiatives aiming to combat islamophobia stay tuned for her story on how to fight daily prejudice ,Negative,Negative,Negative,Negative,Negative
albertandp janisirwin a gay woman walks into a mosque shes greeted with love and acceptance hate and intolerance towards our muslim neighbours must end call out islamophobia denounce hate in all its forms and dont ever accept that we c ,Negative,Negative,Negative,Negative,Positive
albukhari narrated the most authenticated traditions of the prophet muhammad peace be upon him islam islamophobia newzealand christchurch lbkhrykhthmr ,Positive,Negative,Positive,Positive,Positive
all civilized people must condemn the carnage in nz but there is no such thing as islamophobia a phobia is an irrational fear the dangers posed by islamization to western civilization are very real finally a politician understands the root cause yet brave enough to speak out re nz mosque shooting the real cause of bloodshed on new zealand streets today is the immigration program which allowed ,Negative,Negative,Negative,Negative,Negative
all day ive been thinking of the pain and sorrow muslims in new zealand and around the world are suffering islamophobia is evil hatred that every human being should condemn we all grieve these lives lost in innocent prayer ,Negative,Negative,Negative,Negative,Negative
all decent people even the ones who whipped up the divisions and hatred that has brought us here still nothing that the gods of racism and islamophobia wouldnt let you in heaven for eh ,Negative,Negative,Negative,Negative,Negative
all im saying is if you are actively antiracism anti homophobia anti islamophobia then none of your followers would be racist homophobic islamophobic ,Negative,Negative,Negative,Negative,Negative
all my sincerest condolences and prayers go to the families of all the innocents who died praying in the mosque a holy place that is all about peace forgiveness and community all due to a white terrorist attack newzealand islamophobia ,Negative,Negative,Negative,Negative,Negative
all phobias are psychiatric conditions defined as an irrational fear so islamophobia is an irrational fear of islam in which case its a medical condition of course it could be argued that one could be fearful and it wouldnt be irrational so not medical condition qid ,Negative,Negative,Negative,Negative,Negative
all the major msm like are finally labeling terrorist attacks like in newzealand for what it is newzealandterroristattack but small local radio station like still hasnt learned will continue to loose listenerssad islamophobia terroristattack ,Negative,Negative,Negative,Negative,Negative
all the world leaders would condemn this terrorist attack except israel because it is the zionist who have created all this islamophobia through their media and now they are succeeding in their mission of hatred against the muslims ,Negative,Negative,Negative,Negative,Negative
all those empty words and no mention of islamophobia or white supremacywhite nationalism ,Negative,Negative,Negative,Negative,Negative
all we can do is fight against islamophobia here at home and around the world our work is cut out for us but we must call out the media and leaders every time they start this crap this shall not stand you know what else hurts about this newzealandmosqueattack having to explain to your muslim children why anyone would kill people who look like them and are praying peacefully in what i taught them was ,Negative,Negative,Negative,Negative,Negative
all who openly support the terrorist ideologies of racism xenophobia islamophobia fascism are a danger to every human life on earthall those terrorist supporters must be imprisoned kept out of societytheyre imminent terrorist threats to all societies they inhabit ,Negative,Negative,Negative,Negative,Negative
allah protects every muslim wherever they are what we must be aware of islamophobia occurs because of acts of violence and terrorism as if carried out in the name and for the defense of islam in fact they do not have a religion ,Negative,Negative,Negative,Negative,Negative
allowing this kind of hate and rhetoric is why we have nzmosqueshooting report for islamophobia i found some of omar khadrs hidden millions if he moves them i will do everything i can to find them again so that the speer and morris families can extract some of the justice they were denied by justin trudeau ,Negative,Negative,Positive,Negative,Positive
also bringing up every other form of terrorism in the history of man whilst something specifically affecting muslims has happened only fuels the delegitimisation of v desperate highlighting of institutional islamophobia calls for greater introspection re antimuslim rhetoric ,Negative,Negative,Negative,Negative,Negative
also islamophobia isnt a thing right chucky obama bashes christians for not spouting love on easter never a bad word about islam ,Negative,Negative,Positive,Negative,Positive
also its time for yall to call white people terrorists when they commit literal acts of terror these men were trying to incite fear through violence and bloodshed thats literally the definition of terrorism hold white men period islamophobia ,Negative,Negative,Negative,Negative,Negative
also other outlets of mediatwitter youtube facebook etc all give white supremacists a platform as they refuse to ban xenophobic comments that incite violence and hate islamophobia is a prevalent structural issue and everyone complicit towards it needs to be condemned ,Negative,Positive,Negative,Positive,Negative
also worth a look probably the first book to see islamophobia as global phenomenon ,Positive,Negative,Negative,Positive,Positive
alt right fascism isnt a legitimate political stand point nor is it a valid ideology which deserves an iota of respect white genocide is a fallacy islamophobia is as real dangerous anti semitism those in public office who lie manipulate stoke fear should be held ,Negative,Negative,Negative,Negative,Negative
although its who is a leader to white supremacist fascists mindset killer was inspired by him islamophobia christchurchterroristattack newzealandmosqueattack newzealandshooting whiteterrorist its a small group of people trump again denies white nationalism is a threat ,Negative,Negative,Negative,Negative,Negative
although the newzealandterroristattack is a loud and clear terrorist attack triggered by racism and islamophobia most of the western media calls this disgusting terrorist attack as shooting and abstain from calling him terrorist by calling him gunman ,Negative,Negative,Negative,Negative,Negative
always taught my kids that they have two homes and uk is our best home they dont feel safe anymore they are treated differently everywhere they go now islamophobia and racism is a disease ,Negative,Negative,Negative,Negative,Negative
amazing how many mainstream peddlers of islamophobia are expressing faux outrage over christchurch weve read your articles fools weve seen your tweets we know exactly who and what you are ,Negative,Negative,Negative,Negative,Negative
americas response to is directly responsible for the current climate of islamophobia and white nationalism the bush administration and others that spread blood and soil propaganda did more to embolden white nationalism than chan ever could ,Positive,Negative,Positive,Positive,Positive
amid criticism over christchurchmosqueshooting statement that didnt mention muslims mosque or islamophobia conservative leader tries ,Negative,Negative,Negative,Negative,Negative
amidst numerous discussions about how ironic racism antisemitism islamophobia etc are not only well within the continuum of white supremacist violence but are of it ,Negative,Negative,Negative,Negative,Negative
amplify amplify amplify a muslim voice educating you about islamophobia newzealandterroristattack so if i could do the usual and ask to far wide throughout the day im going to be tweeting articlesresources to educate about antimuslim racism and islamophobia because of what muslims experience everyday and because we have your attention because of the the newzealandterroristattack christchurchmosqueattacks n ,Negative,Negative,Negative,Positive,Positive
an aussie a and a serb extremist walk into a mosque bad idea but lets make no mistake its not all muslims they hate just those among them we must fight huntingtons eastwest binary in all forms nzmosqueshooting islamophobia xenophobia ,Negative,Negative,Negative,Negative,Negative
an excellent resource on learning about the experiences muslims live on a daily basis and how to help extinguish islamophobia throughout the day im going to be tweeting articlesresources to educate about antimuslim racism and islamophobia because of what muslims experience everyday and because we have your attention because of the the newzealandterroristattack christchurchmosqueattacks n ,Positive,Negative,Negative,Positive,Positive
an important and valuable piece by on islamophobia in the states and the role of media my latest for on the normalization of islamophobia in the us beyond a problem of the far right its an american problem its a media problem christchurch newzealand ,Negative,Negative,Negative,Negative,Negative
an ugly truth majority of the muslims are going to lose the right message simply because they are trying to make it a christian vs muslim thingsorry its just notif you have any sense at all its fundamentally about our humanity not religion islamophobia christchurch ,Negative,Positive,Positive,Positive,Positive
and allah is the most knowing of your enemies and sufficient is allah as an ally and sufficient is allah as an helper alquran christchurch newzealandterroristattack hellobrother newzealandmosqueattack islamophobia ,Negative,Negative,Negative,Positive,Negative
and before you jump on the condemnation bandwagonim against racismislamophobia myselfim half nz im sydney born and i lived in nz for a long time no one deserved to be killed yesterday therei hope that never happens again that massacre really cut me up ,Negative,Negative,Negative,Negative,Negative
and he is correct the media has always been known to be sensationalist sensationalism sells stories of islamophobia and white supremacy sell a bunch of old ladies getting shot up in a church doesnt thats my opinion ,Positive,Negative,Negative,Positive,Positive
and how are you proposing you and will address islamophobia should you win the election and lead this nation for another term give us your proposals because we dont just want your drivel the remarks by senator fraser anning blaming the murderous attacks by a violent rightwing extremist terrorist in new zealand on immigration are disgusting those views have no place in australia let alone the australian parliament ,Negative,Negative,Negative,Negative,Negative
and how much do you do for womens rights or do you just bring them up to support your islamophobia you act like oppression of women or gay rights isnt prevalent in christianity as well take a step back and reflect how your attitudes contribute to what happened today ,Positive,Negative,Negative,Positive,Positive
and islamophobia is a symptom of colonial white supremacy ,Positive,Positive,Positive,Positive,Positive
and its wrong to conflate conservatism to nazism but mmuh islamophobia well yeah its definitely more of an issue within conservatives but there is unfortunately a lot of islamophobia within liberal circles ,Positive,Positive,Positive,Positive,Positive
and still islam is a terror religion no doubt it was a terror attack islamophobia new zealand mosque attack ,Negative,Negative,Negative,Negative,Negative
and the strongest possible condemnation of the ideology of the people who did this you may have chosen us we utterly reject and condemn you islamophobia whitesupremacy newzealandterroristattack newzealand ,Negative,Negative,Negative,Negative,Negative
and then you have idiots like this first of all what the hell is warmest sympathy and who the f sends best wishes on peoples death this idiot is one of the many idiots who hatred against a certain religion or country stopthehate islamophobia my warmest sympathy and best wishes goes out to the people of new zealand after the horrible massacre in the mosques innocent people have so senselessly died with so many more seriously injured the us stands by new zealand for anything we can do god bless all ,Negative,Negative,Negative,Negative,Positive
and there you have it folks islamophobia is not fakenews but trump is a heartless bastard asked if he thinks white nationalism is a rising threat trump says i dont really i think its a small group of people that have very very serious problems ,Negative,Negative,Negative,Negative,Negative
and theres that islamophobia we talked about again happy no evidence that their population is overtaking the world china has the most booming population at this point ,Positive,Positive,Negative,Positive,Positive
and they his servants are returned to allah there true lord unquestionably he is the judgement and he is the swiftest of alquran newzealandterroristattack christchurch hellobrother newzealandmosqueattack islamophobia christchurchterroristattack ,Positive,Negative,Positive,Positive,Positive
and they say only muslims are terrorist this is so insane who are u to judge which religion is good nd not ur no one to judge on religions may allah give sabr to their families islamophobia ,Negative,Negative,Negative,Negative,Positive
and this is why cant be employed his islamophobia being broadcast by a helps to radicalize real will cain compares antonio brown to a suicide bomber max molly tells him thats not cool he tells them he doesnt care video ,Negative,Negative,Positive,Negative,Positive
and to those who think islamophobia isnt real open your fucking eyes and take a look muslims have been killed so far ,Negative,Positive,Negative,Positive,Negative
and we stand by that position today and call for all in aotearoa to call out racism islamophobia xenophobia in all its forms te kotahi research institute ,Negative,Negative,Negative,Negative,Negative
and when another christchurch happen only this time in gb it will be blamed on islamophobia farright extremism anything but the fact that european govts failed to do their job and protect their citizens ,Negative,Negative,Negative,Negative,Negative
and yet islamophobia is deeply racist now you know ,Negative,Positive,Negative,Negative,Negative
and yet the venn diagram of people who deny the existence of islamophobia and complain about the war in christmas and that society is antichristian is almost a perfect circle ,Negative,Negative,Negative,Negative,Positive
andrew dont be scared to use the term islamophobia where it is real otherwise you fall into the same trap as congress who did not label the anti semitism of rep omar and others it is important to to name all forms of hatred and extremism ,Negative,Negative,Negative,Negative,Negative
andrew scheer condemns vile hatred behind new zealand attack while skirting around islamophobia huffpost canada ,Negative,Negative,Negative,Negative,Negative
andrew scheer is not a leader following criticism andrew scheer releases new statement on new zealand mosque attacks cdnpoli christchurch islamophobia ,Negative,Negative,Negative,Negative,Negative
andrewscheer condemns vile newzealandshooting while skirting around islamophobia correcting after being call out cdnpoli cpc whitenationalist lpc huff posts original ,Negative,Negative,Negative,Negative,Negative
andy you cant employ rebel media people on your staff speak at yellow vest rallies go on tv with faith goldy vote against a motion condemning islamophobia and then expect people to believe you mean a word of this sorry bubie freedom has come under attack in new zealand as peaceful worshippers are targeted in a despicable act of evil all people must be able to practice their faith freely and without fear ,Positive,Negative,Positive,Positive,Positive
another incident today in london islamophobia only hours after the christchurch mosque terrorist attacks rightwing thugs armed with hammers attacked a muslim outside a london mosque while calling all others inside terrorists ,Negative,Negative,Negative,Negative,Negative
another kind of hatred goes by the same name anti islam hatred is on the rise all over it is called islamophobia it is the same as hatred specific to any other people please face up to it ,Negative,Negative,Negative,Negative,Negative
another senseless tragedy islamophobia kills everyone who fueled this hatred has blood on their hands may they rest in peace ill remember them always prayforchristchurch ,Negative,Negative,Negative,Negative,Negative
another vigil is planned at aotea square next friday march to remember the precious lives unjustly taken from us and in total rejection of islamophobia and violence hamiltons love to christchurch vigil is expected to go ahead for pm saturday at claudelands park ,Positive,Negative,Positive,Positive,Positive
another warning bell a story wrote way last summer about my research into the persistence of islamophobia on facebook antimuslim content on facebook has been a problem for a long time than the company hasnt taken seriously heres story on it from august last year ,Negative,Negative,Negative,Negative,Positive
anti muslim directed against those practicing the religion islamophobia directed against the religion itself seems pretty straightforward to me ,Positive,Negative,Negative,Positive,Positive
anti muslim propaganda islamophobia must be stopped after newzealandterroristattack it penetrates into generations and results in these fortnite type of attack on innocent ,Negative,Negative,Negative,Negative,Negative
antimuslim sentiment is present islamophobia is real lives within the muslim community sad our community sad have been lost in the name of a renewed hope in white supremacy and the blatancy of consolidating white supremacy white dominion and wasphood our hearts break with news that people were killed during prayer at mosques in new zealand this is a senseless attack on a peaceful community and the universal right to freedom of worship we grieve with children facing the profound shock that a parent is never coming home ,Negative,Negative,Negative,Negative,Negative
antisemite is a word like islamophobia theyre silly made up words that are designed to silence any kind criticism of those who happen to be jewish or are muslims ,Positive,Negative,Negative,Positive,Positive
antisemitism islamophobia and any forms of raciallymotivated violence are a cancer that must be eradicated at all cost lets unite and condemn them and all those that support them newzealandshooting ,Negative,Negative,Negative,Negative,Negative
any measure to combat islamophobia ,Negative,Positive,Negative,Positive,Negative
any mention of piece on morrisons deliberate use of islamophobia to win votes in your puff piece on his response ,Positive,Positive,Positive,Positive,Positive
any views on this isnt this just another example of the islamophobia thats so rampant in your party hi were still awaiting a response about what action youve taken against terence alan brown and thirteen other members ive reported to you ,Positive,Negative,Positive,Negative,Positive
any words disregarding anti semitism is essentially hypocritical scheer and his goons stand with people regularly who are very open about their islamophobia such as faith goldy and rebel media condemning attacks such as these are an insult to the people who truly know him ,Negative,Negative,Negative,Negative,Negative
are they trying to insinuate he was radicalised when he went to pakistan and north korea one massive flaw in this insinuation the people murdered were muslim as a product of his islamophobia he didnt a radical islamist call him what he is a white supremacist front page top story of the mail online after a massacre of muslims at two mosques ,Negative,Negative,Negative,Negative,Negative
are we willing and able to stand up to islamophobia on days when there are no brutal terrorist attacks on muslims in mosques will we call out vile antimuslim rhetoric when we see it on cable news or in our newspapers and magazines sad or only when ,Negative,Negative,Negative,Negative,Negative
are you fair enough to say that you love the victims as well even if they were muslims can you just condemn the terrorist because of this massacre it doesnt look sincere to say that you love newzealand u supposed to say something against islamophobia that would make sense ,Positive,Negative,Positive,Positive,Positive
are you having a day off what are you going to do about the islamophobia in your party the bigotry and sneering that you and your cohorts have benefited from that has now killed many muslim men women and children ,Negative,Negative,Negative,Negative,Positive
are you intellectually challenged this shit aint farleft buffoon cishet white men speaking on islamophobia is the greatest source of entertainment thanks but shut the fuck up buffoon ,Negative,Positive,Positive,Positive,Positive
are you serious bush caused a massive surge in paranoid islamophobia post the man had a crusaders mindset i mean trump is even worse but jesus h christ on a bicycle this is one bad take maam ,Negative,Positive,Negative,Positive,Negative
arizona republicans islamophobia problem following the christchurch massacre its worth examining arizonas deeplyrooted islamophobia problem ,Negative,Negative,Negative,Negative,Negative
arsonist pisses on forest fire he started so he can claim hes helping fuck off johnson men like you is the reason why people are dead today you made hate and islamophobia mainstream and acceptable by courting the far right in your quest for power all our thoughts and prayers are today with the people of new zealand we already know in our hearts what this was a sickening and cowardly terrorist attack that was driven by nothing but hatred we will always stand together against those who are intent on terror and hate ,Negative,Negative,Negative,Negative,Negative
as a christian im crying with my muslim brothers and sisters who not only feel the pain but know and feel the danger of islamophobia i pray for their safety and for their families to be surrounded by love and loved ones during this tragic time my heart is hurting about the news coming out of christchurch sending love prayers to the effected families ,Positive,Negative,Positive,Positive,Positive
as a devout practicing muslim i can tell you real islamophobia is when white westerners spend years engaging in sectarian semantics to excuse and embolden takfirijihadis and their allies including their favorite rebels that are responsible for the countless deaths of muslims ,Positive,Negative,Negative,Positive,Positive
as a dog i extremely do not approve of our puppers being used as a distraction from the criticism islamophobia deserves im posting this partly for some catharsis for myself but also to connect some of you in a different way than social media does to us id love to hear some of your animal stories and see some pictures of your little friends ,Positive,Negative,Negative,Positive,Positive
as a friend said this goes to the heart of the problem with uk media and islamophobia of course reporting has improved there has been lots of support solidarity but this humanising of the perpetrator when theyre not muslim whilst also dehumanising the victims has to stop how two different terror attacks were covered by the mirror ,Negative,Negative,Negative,Negative,Negative
as a jew and a gay man i stand with the people affected by the mosque shooting what the perforator did was unforgivable we must as a global community fight against islamophobia and seek to create a world where tolerance and peace is the norm ,Positive,Negative,Positive,Positive,Positive
as a jewish person my heart drops to hear the horrors of islamophobia in our modern society thoughts and prayers are bs we need action christchurchmosqueshooting ,Negative,Negative,Negative,Negative,Positive
as a jewish person this is deeply unsettling and makes me want to vomit when will those that are unenlightened learn there is no place for antisemitisim islamophobia any sort of discrimination and hatred in this world ruth bader ginsburg poster in brooklyn vandalized with the words die jew bitch and a swastika ,Negative,Negative,Negative,Negative,Negative
as a muslim and a turkish citizen my first reaction when i heard about this violence was only blaming islamophobia and its contributors we all know this violent crime does not related with your beautiful country thank u for being gentle supportive and thoughtful ,Negative,Negative,Negative,Negative,Negative
as a muslim the problem is not so much islamophobia although an issue as it is rising numbers of brainless knuckledragging fascists in sheeps clothing be you of any faith and none culture background there can never be space for hateful poisonous speech christchruch ,Negative,Negative,Negative,Negative,Negative
